item_id;description;description_2;group_description;unit_sale_price (CLP);cost (CLP);storage_cost (CLP);leadtime (days);stock;size_m3;cost_per_purchase
705;ursovet 60 ml;digestivo;medicamentos;9590.0;7620;18;8.0;3.0;0.0002;500
617;heno de pasto timothy 425gr;alimento exoticos;accesorios;9260.0;7238;19;6.0;1.0;0.001;500
799;jaula aves med. diseños y colores;hogar-transporte;accesorios;24000.0;17179;59;9.0;0.0;0.004;500
1061;simparica 40 mg  x 1 tab. 10,1 - 20 k;ant. ext.;medicamentos;10240.0;7021;19;6.0;0.0;0.0002;500
432;nutram total grain-free chicken & turkey dog food 2kg;adultos;alimento;27750.0;19202;83;8.0;1.0;0.015;1750
1110;coastal lazer brite collar skulls s/m;paseo;accesorios;8990.0;7034;19;9.0;2.0;0.001;500
1142;afp chill out pista hielo;juguetes;accesorios;24790.0;16329;52;12.0;1.0;0.001;500
619;harvest stacks timothy/carrot 1kg;alfalfas;accesorios;21700.0;14694;45;8.0;3.0;0.001;500
706;coastal style collar brown paw xs;paseo;accesorios;6990.0;5561;17;9.0;1.0;0.004;650
425;royal canin feline urinary care 1.5 kg;medicados;alimento;21570.0;15612;65;10.0;4.0;0.015;4500
1798;nath cat adulto esterilizado sabor pollo y arroz;adultos;alimento;27990.0;18400;69;;;;500
591;zd midnight h-harness medium;paseo;accesorios;16900.0;11395;42;10.0;2.0;0.004;1050
495;alimento pelletizado nature para cobayo 700 gr;alimento exoticos;accesorios;9050.0;6359;19;7.0;0.0;0.001;500
1338;"zeus collar ajustable ""l"" grafito";paseo;accesorios;6390.0;4882;13;8.0;0.0;0.001;500
1738;coastal style trailla black skulls m 1,8 m;paseo;accesorios;12590.0;8494;31;6.0;0.0;0.004;1050
727;cracul x20 comp. perros;comportamiento;medicamentos;8700.0;6720;16;6.0;1.0;0.0002;500
196;bayticol collar 35cm;ant. ext.;medicamentos;15990.0;12354;30;7.0;2.0;0.0002;500
344;hartz jfc bizzy balls cat toy;juguetes;accesorios;3590.0;2417;9;7.0;0.0;0.004;500
135;zd smash collar medium;paseo;accesorios;10900.0;7856;22;8.0;0.0;0.001;500
218;zeedog phantom leash large;paseo;accesorios;16900.0;13062;42;10.0;0.0;0.004;1300
270;advocate 1 x 0.4 ml;ant. ext.;medicamentos;16460.0;12801;31;6.0;5.0;0.0002;500
433;naxpet 10 mg.x 10 comp.;analgesico;medicamentos;7800.0;5190;15;5.0;19.0;0.0002;500
1190;pawise bolsas repuesto 3x20 colores;higiene;accesorios;5970.0;4113;14;8.0;1.0;0.004;950
1751;zeus arnes fig. a  s  grafito;paseo;accesorios;7990.0;5683;17;8.0;1.0;0.001;500
1005;bravery chicken adult large/medium breeds 12 kg;adultos;alimento;54990.0;38403;165;13.0;0.0;0.015;650
1812;kong wobbler cat small;juguetes;accesorio;18990.0;15185;35;;;;500
526;pro plan adult small breed 7,5kg ar;adultos;alimento;54060.0;40599;164;11.0;0.0;0.015;3550
237;coastal lazer brite collar fish bones;paseo;accesorios;9490.0;6719;20;7.0;2.0;0.001;500
818;dispensador alimento maya / m (700 gr.);comederos;accesorios;8270.0;5758;21;9.0;1.0;0.004;750
943;bravery chicken kitten 2 kg;cachorros;alimento;17990.0;12936;55;6.0;6.0;0.015;3850
450;zeedog gotham leash large;paseo;accesorios;16840.0;11974;35;8.0;0.0;0.001;500
707;rimadyl 100 mg x 14 tabletas ;analgesico;medicamentos;23090.0;16225;43;8.0;0.0;0.0002;500
598;ratones de piel 24 por caja tipo;juguetes;accesorios;1190.0;922;3;8.0;6.0;0.001;500
1592;le salon essentials peine combinado smal;grooming;accesorios;25390.0;18395;62;7.0;1.0;0.004;900
1550;afp pups cuerda suave mini;juguetes;accesorios;6790.0;4887;17;6.0;0.0;0.004;500
1619;pawise hollow elefante;juguetes;accesorios;6990.0;5330;14;9.0;0.0;0.001;500
930;acana wild atlantic gato 1,8 kg;adultos;alimento;26490.0;18737;80;9.0;1.0;0.015;5250
422;cream labrador  (my family);placas identificacion;accesorios;17560.0;13206;37;11.0;0.0;0.001;500
1237;pro plan puppy medium breed 1kg ar;cachorros;alimento;10880.0;8428;32;6.0;1.0;0.015;4550
1727;planet dog luna;juguetes;accesorios;16990.0;11980;36;8.0;0.0;0.001;500
1222;royal canin sensible 1,5kg;adultos;alimento;19710.0;12877;60;7.0;0.0;0.015;1450
254;coastal style collar teal purple diamonds m;paseo;accesorios;9290.0;7146;20;7.0;0.0;0.001;500
1087;coastal style trailla brown paw l 1,8 m;paseo;accesorios;12590.0;8932;27;10.0;0.0;0.001;550
1310;zeedog skull h-harness extra small;paseo;accesorios;10200.0;7281;25;10.0;0.0;0.004;1050
1574;drontal plus x 2 comprimidos saborizados;ant. ext.;medicamentos;10590.0;7691;20;6.0;19.0;0.0002;500
307;zeedog fatboy ruff leash small;paseo;accesorios;21830.0;16088;46;8.0;0.0;0.001;500
70;shampoo flt;antialergico;medicamentos;12400.0;8560;23;8.0;0.0;0.0002;500
1580;dogit alfombrilla educadora  medium 50u;higiene;accesorios;20590.0;15248;43;8.0;3.0;0.001;500
324;dogit repuesto filtro carbon (91400);bebederos;accesorios;10510.0;8320;26;7.0;0.0;0.004;1400
1225;bravery light iberian pork mini adult small breeds 7 kg;weight control;alimento;43320.0;28170;131;13.0;0.0;0.015;4350
1370;obt-td. puppy s.bites - chicken (5,67 kg);cachorros;alimento;39901.0;26869;121;8.0;0.0;0.015;4250
611;corner deterrent spring;enriquecimiento ambiental;accesorios;7690.0;5830;19;7.0;1.0;0.004;1250
570;arnes de pasaeo chico g.a;paseo;accesorios;7190.0;5123;15;7.0;3.0;0.001;500
1036;zd ella adjustable air mesh harness medium;paseo;accesorios;25890.0;19034;54;7.0;0.0;0.001;500
561;wanpy soft duck jerky stripos;snack;alimento;4990.0;3774;16;7.0;15.0;0.015;600
1322;zeus nosh hueso duro sabor tocino s;juguetes;accesorios;6490.0;4737;13;9.0;1.0;0.001;500
1347;bravery salmon adult large/medium breed 4 kg;adultos;alimento;24990.0;18101;75;8.0;0.0;0.015;2500
1168;eukanuba puppy small breed 6.8 kg;cachorros;alimento;52670.0;36414;159;7.0;2.0;0.015;500
631;afp modern cat flash;juguetes;accesorios;4690.0;3223;10;7.0;1.0;0.001;500
212;royal canin renal canine 1.5 kg;adultos;alimento;17780.0;12589;54;6.0;0.0;0.015;1150
23;coastal lazer brite collar galaxy xs;paseo;accesorios;6990.0;4645;14;7.0;2.0;0.001;500
289;coastal k9 explorer arnes acolchado guinda s;paseo;accesorios;25990.0;19678;54;7.0;0.0;0.001;500
63;dreamwell cama rectangular woof azul;hogar-transporte;accesorios;39990.0;30302;98;14.0;1.0;0.004;1650
869;"gumi juguete hilo dental seda ""mini""";juguetes;accesorios;8990.0;6828;22;9.0;0.0;0.004;900
534;belcando búfalo de agua 400 gr;humedo;alimento;5590.0;4294;18;10.0;0.0;0.015;650
1675;royal canin active 7+ 1.5kg;senior;alimento;16510.0;12352;50;9.0;3.0;0.015;500
1547;zd smash h-harness medium;paseo;accesorios;16900.0;13204;36;10.0;0.0;0.001;500
1441;senses desing circuito rapido luminoso;juguetes;accesorios;19190.0;14636;41;8.0;2.0;0.001;500
1089;zd midnight leash small;paseo;accesorios;13900.0;10825;34;6.0;0.0;0.004;750
1330;zeedog ella h-harness large;paseo;accesorios;19830.0;13336;42;8.0;1.0;0.001;500
916;eukanuba adulto medium 13.6 kg;adultos;alimento;67930.0;48313;205;10.0;2.0;0.015;3950
471;canine i/d x  lata x 370 gms;latas medicadas;alimento;9220.0;6289;27;5.0;11.0;0.015;2700
1178;revolution perro 20-40 kg;ant. ext.;medicamentos;28990.0;21310;54;8.0;0.0;0.0002;550
1810;catnip spray hierba gatera;comportamiento;medicamento;8990.0;6705;19;;;;500
1389;seresto collar p/p hasta 8 kilos;ant. ext.;medicamentos;47990.0;32528;89;14.0;0.0;0.0002;500
1628;obt-td. sen&wm s.bites - chicken (2,27 kg);adultos;alimento;21900.0;17443;67;9.0;0.0;0.015;1850
1362;nexgard x 3 tab. 25- 50k;ant. ext.;medicamentos;43990.0;29845;81;12.0;0.0;0.0002;500
535;royal canin urinary s/o canine 1.5 kg.;urinario;alimento;15480.0;11097;47;5.0;0.0;0.015;4550
1073;zeedog chroma leash extra small;paseo;accesorios;10900.0;7167;26;8.0;0.0;0.004;1050
654;fcn urinary care 7.5kg;medicados;alimento;71240.0;52741;214;13.0;1.0;0.015;1650
669;collar c/hueso grande a. doctor;paseo;accesorios;2690.0;1786;5;5.0;0.0;0.001;500
1575;zeedog cyclops;juguetes;accesorios;15060.0;10915;31;8.0;0.0;0.001;600
115;collar isabelino 25 cm nº(5);higiene;medicamentos;8500.0;5646;16;6.0;5.0;0.0002;500
817;rc mini adulto 8+ 1 kg;adultos;alimento;11830.0;8860;36;9.0;0.0;0.015;2250
917;biopower;suplemento;medicamentos;7090.0;4925;14;5.0;0.0;0.0002;500
1704;zeedog prisma h-harness large;paseo;accesorios;19830.0;15573;49;11.0;4.0;0.004;1150
576;zeedog zee.pad grey 30 unid.;higiene;accesorios;17840.0;12995;37;8.0;0.0;0.001;500
1356;dog a dent cepillo;higiene;medicamentos;6470.0;4690;12;6.0;1.0;0.0002;500
231;zd army green soft-walk harness small;paseo;accesorios;14500.0;9950;30;8.0;1.0;0.001;500
1118;zeedog skull collar medium;paseo;accesorios;10200.0;7973;21;7.0;1.0;0.001;500
1804;arnés adjustable cat ;paseo;accesorio;12990.0;9632;27;;;;500
1432;body perro 0 verde;ropa;accesorios;17590.0;13093;43;8.0;0.0;0.004;500
1355;shampoo regepipel plus 150 ml;higiene;medicamentos;10410.0;7831;20;6.0;2.0;0.0002;500
173;coastal style collar resolve l;paseo;accesorios;10490.0;7281;22;7.0;0.0;0.001;500
1392;acana classic prairie poultry 2 kg;adultos;alimento;17540.0;11594;54;7.0;0.0;0.015;1150
251;milpro gatito x 2 comp 0.5 - 2 kg;antiparasitario;medicamentos;9990.0;7538;19;6.0;5.0;0.0002;500
914;planet dog snoop naranja;juguetes;accesorios;21990.0;14883;46;8.0;0.0;0.001;500
1552;afp modern cat tinkly;juguetes;accesorios;7790.0;5817;17;8.0;2.0;0.001;500
936;zeus collar semifijo  m  rojo;paseo;accesorios;5940.0;4120;14;9.0;0.0;0.004;700
990;heart i love my dog (my family);placas identificacion;accesorios;17560.0;13352;37;7.0;1.0;0.001;700
32;royal canin hairball care 1.5 kg;adultos;alimento;21570.0;16923;65;7.0;1.0;0.015;5050
1661;marina termocalefactor pre-set 100w -22c;enriquecimiento ambiental;accesorios;30990.0;23976;64;9.0;0.0;0.001;500
233;monge sterilised  chicken de 1,5 kg;adultos;alimento;17990.0;13163;55;6.0;1.0;0.015;4700
1004;royal canin maxi adulto pouch 140 gr;humedo;alimento;1940.0;1320;6;5.0;1.0;0.015;1950
124;zeedog phantom leash extra small;paseo;accesorios;10860.0;8254;22;8.0;0.0;0.001;500
680;big hair kitty;juguetes;accesorios;5030.0;4009;11;7.0;0.0;0.001;500
163;parka t/4 cata pets;ropa;accesorios;19890.0;13052;49;8.0;2.0;0.004;1150
1473;baño p/gato prima (cerrado);higiene;accesorios;21190.0;16357;44;7.0;0.0;0.001;500
628;zd honey ruff leash large;paseo;accesorios;23900.0;16247;50;9.0;1.0;0.001;750
414;habitrail classic kit;hogar-transporte;accesorios;41990.0;27840;88;11.0;1.0;0.001;650
49;brit care puppy l&r  12 kg;cachorros;alimento;64990.0;48214;196;3.0;4.0;0.015;3200
303;zd skull 2.0 leash large;paseo;accesorios;16900.0;11699;36;10.0;0.0;0.001;500
903;zd army green collar large;paseo;accesorios;12900.0;9203;31;7.0;0.0;0.004;500
1163;proplan active mind rzmedgrand 3kg;senior;alimento;18490.0;13307;55;8.0;1.0;0.015;2600
1653;sinpul 30 % x 15 grs.;ant. ext.;medicamentos;4360.0;3012;8;5.0;3.0;0.0002;500
1447;lw set arnes y correa peq animales  s ;paseo;accesorios;8990.0;7144;22;7.0;2.0;0.004;1200
342;labyes tears;ocular;medicamentos;17990.0;12548;34;10.0;0.0;0.0002;500
1418;zeedog tarot adjustable air mesh harness small;paseo;accesorios;19300.0;12646;47;9.0;2.0;0.004;1200
941;nutrafin limpiador biologico 120ml;higiene;accesorios;8990.0;6145;19;7.0;0.0;0.001;500
781;zd smash h-harness large;paseo;accesorios;19900.0;14651;42;10.0;0.0;0.001;500
1622;toallitas de limpieza vainilla;higiene;accesorios;2960.0;2182;6;8.0;3.0;0.001;500
670;zd army green leash + harness set;paseo;accesorios;11900.0;9223;25;7.0;1.0;0.001;500
382;stomorgyl 2 x 10 comp;antibiotico;medicamentos;13770.0;9401;26;9.0;1.0;0.0002;500
429;little jacs snack;snack;alimento;5990.0;4196;18;5.0;13.0;0.015;1750
754;dermisolona 30 ml suspensión;antialergico;medicamentos;14650.0;11521;27;7.0;9.0;0.0002;500
1835;palace dog house;hogar-transporte;accesorio;159990.0;115017;758;;;;500
788;zeedog brain fried;paseo;accesorios;19830.0;15241;42;8.0;0.0;0.001;500
78;brit care cat grain-free kitten healthy g&d 2 kg;cachorros;alimento;19990.0;15253;60;7.0;14.0;0.015;2400
59;afp classic justin castor;juguetes;accesorios;16990.0;11290;36;7.0;2.0;0.001;500
1231;brit care cat grain-free kitten healthy g&d 7 kg;cachorros;alimento;55990.0;40062;168;13.0;1.0;0.015;5250
1324;eukanuba puppy medium breed 15 kg;cachorros;alimento;78280.0;51111;236;14.0;2.0;0.015;2900
73;pro plan cat urinary 7,5 kg;adultos;alimento;40900.0;28669;124;13.0;2.0;0.015;550
367;bowl de plástico;comederos;accesorio;3990.0;2802;9;4.0;0.0;0.001;500
1802;zeecat phantom collar;paseo;accesorio;4990.0;3531;11;;;;500
210;zd bordeau cat collar;paseo;accesorios;4900.0;3379;10;9.0;1.0;0.001;500
69;big heart aluminum red (my family);placas identificacion;accesorios;7130.0;5108;15;9.0;1.0;0.001;500
162;pawise bozal tela m;paseo;accesorios;5490.0;3595;12;6.0;0.0;0.001;500
583;pawise mat de enfriamiento l 90x50 cm;enriquecimiento ambiental;accesorios;29990.0;21141;63;8.0;0.0;0.001;750
599;tetra aquasafe, 100 ml;acc acuarios;accesorios;5240.0;4161;11;9.0;1.0;0.001;500
962;zd smash cat collar;paseo;accesorios;4900.0;3198;10;8.0;1.0;0.001;500
1000;afp litte buddy comforting gator;juguetes;accesorios;14590.0;11347;30;8.0;3.0;0.001;500
888;coastal new earth trailla de soya fucsia 1,8 m;paseo;accesorios;13690.0;10385;29;9.0;3.0;0.001;500
693;royal canin medium adulto pouch 140 gr;humedo;alimento;1940.0;1543;6;7.0;6.0;0.015;1600
485;royal can. hepatic canine 10 kg.;medicados;alimento;91930.0;61209;277;18.0;0.0;0.015;500
1353;brit care cat sterilized fillets healthy rabbit 85 g;humedo;alimento;2200.0;1520;8;6.0;5.0;0.015;550
519;zeus nosh hueso duro sabor carne/queso m;juguetes;accesorios;8990.0;6485;19;6.0;0.0;0.001;500
1571;frontline 100 ml;ant. ext.;medicamentos;13990.0;10484;26;7.0;3.0;0.0002;500
1023;daily stuff cama nido estilo garra;camas;accesorios;29990.0;22187;74;12.0;3.0;0.004;500
1809;desparasitante bravecto para gatos;antiparasitarios;medicamento;29990.0;20731;56;;;;500
1595;zeus collar ajustable  s  coral;paseo;accesorios;4190.0;2967;9;9.0;0.0;0.001;500
1546;coastal style trailla teal purple diamonds m 1,8 m;paseo;accesorios;12590.0;9900;27;9.0;1.0;0.001;600
1417;brit care cat kitten (crazy) 2 kg;cachorros;alimento;15900.0;12149;49;3.0;2.0;0.015;1050
701;big heart aluminum pink (my family);placas identificacion;accesorios;7130.0;5323;15;9.0;0.0;0.001;500
220;l.w. bebedero hermetico 100 ml;bebederos;accesorios;5290.0;4154;11;9.0;5.0;0.001;500
76;coastal sublime collar pink l;paseo;accesorios;16990.0;11692;42;9.0;0.0;0.004;500
1788;royal canin adulto mini adult 7,5kg;adultos;alimento;42990.0;33599;129;;;;500
1564;nexgard spectra 1 tab 3,6 a 7,5 kg;ant. ext.;medicamentos;11990.0;8361;22;6.0;14.0;0.0002;500
99;pawise meow life varita;juguetes;accesorios;4790.0;3518;11;7.0;4.0;0.004;1200
420;catit filtro fuente triple accion 2 un;juguetes;accesorios;9390.0;6285;20;9.0;0.0;0.001;500
413;pro plan active mind 7+ med lrg 3kg ar;adultos;alimento;30830.0;22107;93;10.0;3.0;0.015;3500
618;feliway friends repuesto;comportamiento;medicamentos;31630.0;24349;59;10.0;1.0;0.0002;650
527;zd artsy leash large;paseo;accesorios;16900.0;11131;36;8.0;0.0;0.001;500
849;dispensador alimento maya l / (1500);comederos;accesorios;10230.0;6781;21;10.0;1.0;0.001;500
1857;transportadora rígida para perro chico;hogar-transporte;accesorio;44990.0;35112;136;;;;500
306;royal can early cardiac canine 2.0 kg.;medicados;alimento;26130.0;20105;78;8.0;1.0;0.015;3250
1055;red big circle paw (my family);placas identificacion;accesorios;12300.0;8639;26;7.0;0.0;0.001;500
1532;furminator short hair deshedding tools for dog, sm;grooming;accesorios;34510.0;23423;72;11.0;0.0;0.001;900
862;zd midnight leash extra small;paseo;accesorios;10900.0;8395;26;6.0;1.0;0.004;500
30;casa igloo medium;hogar-transporte;accesorios;5790.0;4590;12;7.0;2.0;0.001;500
331;pro plan kitten 1kg ar;cachorros;alimento;13440.0;9964;41;5.0;6.0;0.015;1100
1557;brit care cat kitten tuna fillets 70grs;humedo;alimento;1900.0;1364;6;7.0;0.0;0.015;1900
1182;comedero interactivo gato planta blanco y verde;juguetes;accesorios;18180.0;13855;45;9.0;0.0;0.004;1400
1517;timothy bungalow m;enriquecimiento ambiental;accesorios;37900.0;24774;79;10.0;0.0;0.001;950
552;clever pet bowl acero inox colores;comederos;accesorios;6980.0;4614;14;6.0;0.0;0.001;500
1113;exo t.ampolleta heat glo infrarroja 75w;enriquecimiento ambiental;accesorios;13490.0;9134;28;10.0;0.0;0.001;500
427;zeus collar ajustable  xl  coral;paseo;accesorios;7790.0;5450;17;8.0;0.0;0.001;500
1582;salvaje adulto con pollo 15 kg;adultos;alimento;31990.0;25189;96;3.0;205.0;0.015;4950
1453;dogit cable enganche 4.5m mas estaca;paseo;accesorios;20990.0;14215;51;7.0;0.0;0.004;500
1470;afp doggies pantufla mono;juguetes;accesorios;11690.0;8959;25;7.0;1.0;0.001;500
351;white persian  (my family);placas identificacion;accesorios;17560.0;13209;43;11.0;1.0;0.004;1050
1476;bravery chicken adult cat 7 kg;adultos;alimento;44990.0;32439;136;14.0;0.0;0.015;4850
44;pichichi 20 ml. (edu. sanit/perros);higiene;medicamentos;3190.0;2408;6;4.0;1.0;0.0002;500
168;tx pato látex perro toy , 14  cm.;juguetes;accesorios;2890.0;1900;6;5.0;3.0;0.001;500
1258;light blue big circle bone (my family);placas identificacion;accesorios;15490.0;11180;38;8.0;2.0;0.004;950
733;zd pacco collar small;paseo;accesorios;9900.0;7625;25;7.0;0.0;0.004;1050
1796;dingo dental stick huesitos ;snack;alimento;11990.0;7928;25;;;;500
1029;brit care senior l&r 12 kg;senior;alimento;53990.0;39919;164;11.0;1.0;0.015;2200
585;pro plan puppy medium breed 7,5kg ar;cachorros;alimento;46900.0;36072;142;3.0;1.0;0.015;1350
1820;simparica antiparasitario 80 mg;antiparasitarios;medicamento;15990.0;12730;30;;;;500
361;zeedog neopro green leash large;paseo;accesorios;19400.0;15227;41;9.0;1.0;0.001;700
557;coastal embellished collar flower pink;paseo;accesorios;9590.0;7198;20;9.0;2.0;0.001;500
